EndTime,ResponseTime[ms]
1900-01-01 13:40:35,608.2566160792122
1900-01-01 13:40:36,549.7983134500442
1900-01-01 13:40:37,521.1835814373866
1900-01-01 13:40:38,585.8559626774947
1900-01-01 13:40:39,608.3060858894737
1900-01-01 13:40:40,724.2892069829636
1900-01-01 13:40:41,620.8925739700693
1900-01-01 13:40:42,604.470355227685
1900-01-01 13:40:43,600.2785903076724
1900-01-01 13:40:44,619.2892684121654
1900-01-01 13:40:45,625.4503106603861
1900-01-01 13:40:46,637.8166411026261
1900-01-01 13:40:47,621.4780460585833
1900-01-01 13:40:48,618.1717347599955
1900-01-01 13:40:49,618.220924422151
1900-01-01 13:40:50,622.4694322278168
1900-01-01 13:40:51,623.6638805591629
1900-01-01 13:40:52,624.6686084760944
1900-01-01 13:40:53,621.9763438350499
1900-01-01 13:40:54,621.4281758111471
